model,coefficient,odds_ratio,ci_lower,ci_upper,p_value,pseudo_r_squared
Playtime only,-0.06224224469869784,0.9396552327194763,0.8466664574378688,1.0428568991017184,0.24172576054873096,0.0006353229987292597
Adjusted model,-0.03808961937805029,0.9626266670221589,0.8651937948919027,1.0710318376450745,0.4841860942742263,0.040874277486427024
